,batch_tom,Run,Regular average,Regular times,Time steps,ToM average,ToM times,configuration,save_plots,batch_run,batch_panic,width,height,N
10,2,10,28.396551724137932,"[4, 5, 5, 6, 6, 8, 10, 10, 11, 12, 13, 13, 14, 14, 15, 15, 16, 17, 17, 19, 19, 19, 19, 20, 20, 21, 21, 22, 23, 26, 28, 28, 30, 32, 33, 35, 35, 37, 37, 39, 39, 41, 41, 43, 43, 46, 46, 47, 47, 49, 50, 50, 51, 52, 54, 56, 58, 60]",61,33.5,"[23, 44]","{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1236A358>, <src.model.entities.Obstacle.Obstacle object at 0x1236A388>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A418>, <src.model.entities.Obstacle.Obstacle object at 0x1236A448>, <src.model.entities.Obstacle.Obstacle object at 0x1236A478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1236A4A8>, <src.model.entities.Exit.Exit object at 0x1236A4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1236A508>}",False,True,"[3, 4]",1000,500,60
11,2,11,26.879310344827587,"[4, 4, 6, 7, 8, 9, 10, 11, 11, 11, 12, 14, 14, 15, 15, 15, 16, 16, 17, 17, 19, 19, 19, 19, 21, 21, 22, 23, 23, 24, 25, 26, 26, 28, 28, 31, 32, 32, 33, 34, 35, 35, 36, 37, 38, 40, 41, 43, 43, 44, 45, 46, 47, 50, 54, 56, 61, 71]",72,46.0,"[33, 59]","{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1236A358>, <src.model.entities.Obstacle.Obstacle object at 0x1236A388>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A418>, <src.model.entities.Obstacle.Obstacle object at 0x1236A448>, <src.model.entities.Obstacle.Obstacle object at 0x1236A478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1236A4A8>, <src.model.entities.Exit.Exit object at 0x1236A4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1236A508>}",False,True,"[3, 4]",1000,500,60
12,2,12,24.586206896551722,"[3, 4, 5, 6, 7, 7, 8, 9, 9, 11, 12, 13, 13, 14, 14, 15, 16, 16, 16, 16, 17, 18, 18, 18, 19, 20, 21, 22, 22, 24, 24, 25, 25, 26, 27, 27, 28, 29, 30, 31, 31, 33, 34, 35, 36, 37, 37, 38, 39, 41, 41, 42, 44, 45, 46, 48, 56, 58]",62,57.0,"[53, 61]","{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1236A358>, <src.model.entities.Obstacle.Obstacle object at 0x1236A388>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A418>, <src.model.entities.Obstacle.Obstacle object at 0x1236A448>, <src.model.entities.Obstacle.Obstacle object at 0x1236A478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1236A4A8>, <src.model.entities.Exit.Exit object at 0x1236A4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1236A508>}",False,True,"[3, 4]",1000,500,60
13,2,13,29.448275862068964,"[4, 6, 6, 7, 7, 8, 9, 9, 10, 11, 11, 11, 12, 13, 15, 15, 16, 17, 18, 19, 20, 21, 22, 22, 24, 25, 26, 26, 28, 30, 31, 32, 32, 33, 33, 35, 36, 37, 39, 40, 40, 42, 44, 45, 46, 48, 48, 48, 48, 49, 50, 50, 52, 52, 54, 56, 58, 62]",63,35.0,"[28, 42]","{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1236A358>, <src.model.entities.Obstacle.Obstacle object at 0x1236A388>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A418>, <src.model.entities.Obstacle.Obstacle object at 0x1236A448>, <src.model.entities.Obstacle.Obstacle object at 0x1236A478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1236A4A8>, <src.model.entities.Exit.Exit object at 0x1236A4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1236A508>}",False,True,"[3, 4]",1000,500,60
14,2,14,35.36206896551724,"[4, 6, 7, 8, 9, 10, 11, 11, 12, 14, 14, 15, 16, 17, 18, 19, 19, 21, 21, 22, 23, 23, 23, 24, 24, 24, 25, 25, 26, 28, 30, 30, 32, 32, 32, 34, 34, 37, 38, 39, 40, 41, 42, 44, 44, 46, 48, 48, 50, 60, 69, 88, 90, 92, 94, 98, 100, 100]",101,18.0,"[16, 20]","{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1236A358>, <src.model.entities.Obstacle.Obstacle object at 0x1236A388>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A418>, <src.model.entities.Obstacle.Obstacle object at 0x1236A448>, <src.model.entities.Obstacle.Obstacle object at 0x1236A478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1236A4A8>, <src.model.entities.Exit.Exit object at 0x1236A4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1236A508>}",False,True,"[3, 4]",1000,500,60
15,3,15,28.321428571428573,"[0, 4, 5, 6, 9, 9, 11, 11, 11, 13, 14, 14, 14, 15, 15, 16, 17, 17, 19, 20, 20, 21, 22, 23, 23, 25, 25, 25, 27, 27, 27, 28, 30, 30, 30, 31, 32, 34, 36, 36, 38, 40, 41, 42, 43, 45, 46, 46, 48, 48, 50, 54, 56, 62, 66, 69]",120,16.666666666666668,"[13, 17, 20]","{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1236A358>, <src.model.entities.Obstacle.Obstacle object at 0x1236A388>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A418>, <src.model.entities.Obstacle.Obstacle object at 0x1236A448>, <src.model.entities.Obstacle.Obstacle object at 0x1236A478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1236A4A8>, <src.model.entities.Exit.Exit object at 0x1236A4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1236A508>}",False,True,"[3, 4]",1000,500,60
16,3,16,28.333333333333332,"[3, 4, 5, 7, 8, 9, 9, 10, 11, 12, 12, 13, 14, 15, 15, 15, 18, 19, 19, 19, 21, 22, 22, 22, 23, 23, 24, 24, 25, 26, 27, 27, 28, 28, 29, 30, 31, 31, 32, 33, 34, 37, 37, 38, 39, 40, 41, 42, 43, 43, 45, 58, 61, 67, 70, 73, 82]",83,35.0,"[7, 33, 65]","{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1236A358>, <src.model.entities.Obstacle.Obstacle object at 0x1236A388>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A418>, <src.model.entities.Obstacle.Obstacle object at 0x1236A448>, <src.model.entities.Obstacle.Obstacle object at 0x1236A478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1236A4A8>, <src.model.entities.Exit.Exit object at 0x1236A4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1236A508>}",False,True,"[3, 4]",1000,500,60
17,3,17,27.56140350877193,"[2, 4, 4, 5, 6, 7, 7, 8, 9, 10, 10, 11, 12, 13, 13, 15, 15, 17, 17, 17, 18, 19, 20, 22, 22, 24, 25, 25, 26, 26, 27, 28, 30, 30, 32, 34, 35, 35, 38, 38, 39, 40, 41, 43, 44, 45, 46, 49, 49, 49, 51, 52, 52, 53, 53, 54, 55]",56,21.666666666666668,"[3, 16, 46]","{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1236A358>, <src.model.entities.Obstacle.Obstacle object at 0x1236A388>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A418>, <src.model.entities.Obstacle.Obstacle object at 0x1236A448>, <src.model.entities.Obstacle.Obstacle object at 0x1236A478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1236A4A8>, <src.model.entities.Exit.Exit object at 0x1236A4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1236A508>}",False,True,"[3, 4]",1000,500,60
18,3,18,28.054545454545455,"[7, 7, 9, 9, 10, 10, 12, 12, 12, 12, 14, 14, 15, 16, 17, 17, 17, 17, 19, 19, 19, 19, 20, 21, 24, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 35, 38, 38, 38, 40, 40, 40, 41, 43, 43, 45, 45, 45, 45, 47, 49, 49, 51, 53, 55]",120,29.0,"[16, 22, 49]","{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1236A358>, <src.model.entities.Obstacle.Obstacle object at 0x1236A388>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A418>, <src.model.entities.Obstacle.Obstacle object at 0x1236A448>, <src.model.entities.Obstacle.Obstacle object at 0x1236A478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1236A4A8>, <src.model.entities.Exit.Exit object at 0x1236A4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1236A508>}",False,True,"[3, 4]",1000,500,60
19,3,19,25.964912280701753,"[2, 2, 3, 4, 4, 5, 6, 6, 6, 6, 10, 10, 11, 11, 12, 14, 14, 15, 16, 18, 18, 18, 20, 21, 22, 22, 23, 24, 25, 25, 26, 27, 27, 29, 29, 31, 32, 33, 34, 35, 36, 37, 39, 40, 42, 42, 43, 44, 45, 46, 48, 49, 49, 50, 56, 58, 60]",61,29.666666666666668,"[16, 23, 50]","{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1236A358>, <src.model.entities.Obstacle.Obstacle object at 0x1236A388>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A418>, <src.model.entities.Obstacle.Obstacle object at 0x1236A448>, <src.model.entities.Obstacle.Obstacle object at 0x1236A478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1236A4A8>, <src.model.entities.Exit.Exit object at 0x1236A4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1236A508>}",False,True,"[3, 4]",1000,500,60
