,batch_tom,Run,Regular average,Regular times,Time steps,ToM average,ToM times,configuration,save_plots,batch_run,batch_panic,width,height,N
10,2,10,24.833333333333332,"[14, 15, 15, 16, 17, 17, 19, 20, 20, 22, 22, 24, 29, 32, 36, 41, 43, 45]",50,48.0,"[47, 49]","{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x0318E6A0>, <src.model.entities.Exit.Exit object at 0x0318E4D8>, <src.model.entities.Exit.Exit object at 0x0343B2F8>, <src.model.entities.Exit.Exit object at 0x1134F6D0>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1134F7C0>}",False,True,"[3, 4]",500,500,20
11,2,11,19.75,"[14, 14, 15, 16, 18, 18, 18, 20, 20, 22, 29, 33]",120,16.0,[16],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x0318E6A0>, <src.model.entities.Exit.Exit object at 0x0318E4D8>, <src.model.entities.Exit.Exit object at 0x0343B2F8>, <src.model.entities.Exit.Exit object at 0x1134F6D0>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1134F7C0>}",False,True,"[3, 4]",500,500,20
12,2,12,22.555555555555557,"[14, 15, 15, 16, 17, 18, 19, 19, 20, 21, 22, 22, 23, 24, 30, 36, 37, 38]",39,20.5,"[17, 24]","{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x0318E6A0>, <src.model.entities.Exit.Exit object at 0x0318E4D8>, <src.model.entities.Exit.Exit object at 0x0343B2F8>, <src.model.entities.Exit.Exit object at 0x1134F6D0>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1134F7C0>}",False,True,"[3, 4]",500,500,20
13,2,13,23.666666666666668,"[13, 15, 15, 15, 17, 17, 17, 19, 19, 20, 21, 21, 22, 30, 33, 42, 44, 46]",47,41.5,"[40, 43]","{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x0318E6A0>, <src.model.entities.Exit.Exit object at 0x0318E4D8>, <src.model.entities.Exit.Exit object at 0x0343B2F8>, <src.model.entities.Exit.Exit object at 0x1134F6D0>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1134F7C0>}",False,True,"[3, 4]",500,500,20
14,2,14,25.0,"[15, 15, 16, 17, 17, 18, 19, 20, 22, 22, 24, 24, 29, 32, 37, 39, 41, 43]",46,42.0,"[39, 45]","{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x0318E6A0>, <src.model.entities.Exit.Exit object at 0x0318E4D8>, <src.model.entities.Exit.Exit object at 0x0343B2F8>, <src.model.entities.Exit.Exit object at 0x1134F6D0>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1134F7C0>}",False,True,"[3, 4]",500,500,20
15,3,15,21.470588235294116,"[14, 14, 16, 16, 17, 18, 19, 20, 21, 21, 22, 23, 23, 26, 30, 31, 34]",35,23.0,"[15, 24, 30]","{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x0318E6A0>, <src.model.entities.Exit.Exit object at 0x0318E4D8>, <src.model.entities.Exit.Exit object at 0x0343B2F8>, <src.model.entities.Exit.Exit object at 0x1134F6D0>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1134F7C0>}",False,True,"[3, 4]",500,500,20
16,3,16,17.1,"[14, 14, 15, 16, 16, 17, 18, 19, 20, 22]",120,0.0,[],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x0318E6A0>, <src.model.entities.Exit.Exit object at 0x0318E4D8>, <src.model.entities.Exit.Exit object at 0x0343B2F8>, <src.model.entities.Exit.Exit object at 0x1134F6D0>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1134F7C0>}",False,True,"[3, 4]",500,500,20
17,3,17,24.058823529411764,"[14, 16, 16, 16, 18, 18, 20, 20, 22, 22, 24, 24, 30, 34, 37, 38, 40]",43,27.0,"[14, 25, 42]","{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x0318E6A0>, <src.model.entities.Exit.Exit object at 0x0318E4D8>, <src.model.entities.Exit.Exit object at 0x0343B2F8>, <src.model.entities.Exit.Exit object at 0x1134F6D0>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1134F7C0>}",False,True,"[3, 4]",500,500,20
18,3,18,24.41176470588235,"[15, 16, 16, 17, 18, 19, 19, 20, 21, 22, 23, 25, 30, 34, 37, 39, 44]",45,23.333333333333332,"[13, 14, 43]","{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x0318E6A0>, <src.model.entities.Exit.Exit object at 0x0318E4D8>, <src.model.entities.Exit.Exit object at 0x0343B2F8>, <src.model.entities.Exit.Exit object at 0x1134F6D0>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1134F7C0>}",False,True,"[3, 4]",500,500,20
19,3,19,19.2,"[15, 16, 16, 17, 18, 18, 20, 20, 22, 30]",120,34.0,[34],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x0318E6A0>, <src.model.entities.Exit.Exit object at 0x0318E4D8>, <src.model.entities.Exit.Exit object at 0x0343B2F8>, <src.model.entities.Exit.Exit object at 0x1134F6D0>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1134F7C0>}",False,True,"[3, 4]",500,500,20
20,4,20,19.916666666666668,"[14, 14, 15, 16, 17, 18, 18, 20, 22, 24, 29, 32]",120,20.0,"[16, 24]","{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x0318E6A0>, <src.model.entities.Exit.Exit object at 0x0318E4D8>, <src.model.entities.Exit.Exit object at 0x0343B2F8>, <src.model.entities.Exit.Exit object at 0x1134F6D0>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1134F7C0>}",False,True,"[3, 4]",500,500,20
21,4,21,22.75,"[14, 14, 16, 16, 18, 18, 19, 20, 22, 22, 22, 25, 29, 33, 37, 39]",40,24.0,"[17, 20, 23, 36]","{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x0318E6A0>, <src.model.entities.Exit.Exit object at 0x0318E4D8>, <src.model.entities.Exit.Exit object at 0x0343B2F8>, <src.model.entities.Exit.Exit object at 0x1134F6D0>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1134F7C0>}",False,True,"[3, 4]",500,500,20
22,4,22,20.625,"[14, 14, 15, 16, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 31, 35]",41,26.75,"[19, 21, 27, 40]","{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x0318E6A0>, <src.model.entities.Exit.Exit object at 0x0318E4D8>, <src.model.entities.Exit.Exit object at 0x0343B2F8>, <src.model.entities.Exit.Exit object at 0x1134F6D0>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1134F7C0>}",False,True,"[3, 4]",500,500,20
23,4,23,22.5625,"[13, 15, 16, 16, 17, 18, 19, 20, 21, 21, 23, 25, 30, 33, 36, 38]",39,19.25,"[13, 19, 22, 23]","{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x0318E6A0>, <src.model.entities.Exit.Exit object at 0x0318E4D8>, <src.model.entities.Exit.Exit object at 0x0343B2F8>, <src.model.entities.Exit.Exit object at 0x1134F6D0>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1134F7C0>}",False,True,"[3, 4]",500,500,20
24,4,24,24.6875,"[14, 15, 16, 16, 17, 18, 18, 19, 20, 20, 29, 32, 35, 36, 43, 47]",48,29.25,"[14, 29, 34, 40]","{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x0318E6A0>, <src.model.entities.Exit.Exit object at 0x0318E4D8>, <src.model.entities.Exit.Exit object at 0x0343B2F8>, <src.model.entities.Exit.Exit object at 0x1134F6D0>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1134F7C0>}",False,True,"[3, 4]",500,500,20
