,theory_of_mind,Run,Regular average,Regular times,Time steps,ToM average,ToM times,N,width,height,panic_dynamic,save_plots
93,18,93,19.0,"[16, 22]",29,20.055555555555557,"[13, 14, 15, 16, 18, 18, 18, 18, 20, 20, 20, 21, 22, 24, 24, 26, 26, 28]",20,500,500,"[2, 7]",False
94,18,94,23.0,"[20, 26]",35,23.555555555555557,"[13, 15, 16, 16, 18, 19, 21, 21, 22, 23, 25, 28, 28, 30, 31, 32, 32, 34]",20,500,500,"[2, 7]",False
95,19,95,28.0,[28],29,20.789473684210527,"[14, 15, 15, 16, 17, 17, 19, 20, 21, 21, 22, 23, 23, 24, 24, 25, 25, 27, 27]",20,500,500,"[2, 7]",False
96,19,96,20.0,[20],28,20.263157894736842,"[14, 14, 16, 16, 16, 16, 18, 18, 19, 20, 22, 22, 23, 23, 24, 25, 26, 26, 27]",20,500,500,"[2, 7]",False
97,19,97,30.0,[30],34,21.63157894736842,"[13, 14, 15, 15, 17, 17, 17, 17, 19, 20, 23, 24, 25, 26, 27, 28, 29, 32, 33]",20,500,500,"[2, 7]",False
98,19,98,23.0,[23],33,22.05263157894737,"[14, 15, 15, 17, 17, 17, 19, 19, 20, 21, 21, 24, 25, 26, 27, 28, 30, 32, 32]",20,500,500,"[2, 7]",False
99,19,99,17.0,[17],27,19.36842105263158,"[14, 14, 15, 15, 16, 17, 17, 18, 19, 19, 19, 20, 21, 22, 23, 24, 24, 25, 26]",20,500,500,"[2, 7]",False
100,20,100,0.0,[],29,20.2,"[14, 14, 14, 16, 16, 18, 18, 18, 18, 20, 20, 20, 22, 22, 24, 24, 25, 26, 27, 28]",20,500,500,"[2, 7]",False
101,20,101,0.0,[],30,20.15,"[14, 14, 14, 16, 16, 16, 18, 18, 19, 19, 20, 21, 21, 23, 23, 24, 25, 26, 27, 29]",20,500,500,"[2, 7]",False
102,20,102,0.0,[],58,28.95,"[13, 14, 16, 16, 16, 18, 18, 20, 20, 22, 23, 23, 25, 25, 45, 49, 51, 53, 55, 57]",20,500,500,"[2, 7]",False
103,20,103,0.0,[],28,19.85,"[14, 14, 14, 14, 16, 17, 17, 18, 18, 19, 20, 20, 22, 23, 23, 24, 25, 26, 26, 27]",20,500,500,"[2, 7]",False
104,20,104,0.0,[],29,20.7,"[14, 14, 15, 16, 16, 18, 18, 20, 20, 20, 22, 22, 22, 23, 24, 24, 26, 26, 26, 28]",20,500,500,"[2, 7]",False
